Year,Roadside survey (Birds per 100 miles)
1995,60
1996,38.2
1997,31.6
1998,65
1999,63
2000,71
2001,35
2002,66
2003,108
2004,57.1
2005,101
2006,115
2007,106
2008,80
2009,58
2010,63
2011,23
2012,39
2013,27.2
2014,28.7
2015,40.7
2016,52.1
2017,38.2
2018,45.5
2019,37.4
